mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,zcr_mean,zcr_std,spec_centroid_mean,spec_centroid_std,spec_rolloff_mean,spec_bandwidth_mean,rms_mean,rms_std,chroma_mean,label,label_idx
-480.61148,216.8401,35.829487,57.23345,-19.361406,34.723354,14.643776,25.547667,-21.776676,37.066532,1.0465794,6.6470547,-14.243954,23.065357,-2.1477354,5.819932,-7.4715943,13.273082,-5.5576015,10.122185,1.6170672,6.0042777,-4.641893,10.748606,2.539527,13.072114,0.04307538613505747,0.07116291825814008,812.4992612037881,1221.2146691263647,1605.089911099138,677.7434618983647,0.035016686,0.06419152,0.1451099,covid,0
-537.54346,180.14508,26.276726,44.750713,-13.724356,30.96997,6.802891,19.132801,-17.342388,31.285763,2.2150307,6.196903,-5.9745092,11.542774,-0.7442221,8.551893,-6.87228,15.327586,-4.7299056,9.653222,0.5736843,6.6589036,-3.7437706,7.2834353,4.333173,15.690835,0.0412457345545977,0.06706871330992988,805.2429766744914,1264.4695035176833,1611.896383351293,636.1221772316128,0.016779078,0.03959751,0.120794475,covid,0
-525.1771,203.68405,30.344007,50.085155,-15.4687805,27.018824,17.113836,27.616726,-15.160956,28.4336,7.4439116,15.375479,-12.0933695,22.613493,2.5364525,15.340524,-4.370641,9.099706,-9.640318,17.85927,-5.943226,11.566146,-3.0220633,6.2903876,3.1244717,9.364624,0.06321277837643678,0.11292490038649923,879.3634862891568,1415.5066428100586,1620.4354121767242,648.0008249939715,0.019938143,0.036693044,0.13849528,covid,0
-536.08075,191.58672,25.92642,45.526283,-15.652248,32.066536,10.930974,21.848228,-14.330774,27.676634,-0.5265013,5.2922187,-13.867066,25.657984,0.0005327422,6.7266293,-3.9227533,8.496363,-4.3029547,8.101842,0.33823138,2.057583,-4.0211673,8.581255,1.0163769,3.3369713,0.043647853807471264,0.07780853213195264,712.3993005076343,1206.1869476093325,1448.7885573814656,563.9330054038742,0.014909872,0.033680394,0.122946754,covid,0
-574.487,202.54723,30.391752,45.246235,-14.458028,29.899136,15.903153,25.80634,-16.211891,33.346703,1.2408824,6.5772166,-12.44749,21.986347,2.5660362,10.582888,-2.6589804,6.9791365,-1.5645014,5.3678656,-2.1090024,4.8589234,-7.8560386,14.385374,2.7898788,7.993385,0.05824016702586207,0.09727638295806557,961.5177743809189,1416.1339930935037,1821.9069908405172,721.0364865417097,0.013383947,0.03115424,0.16509208,covid,0
-492.02783,196.22737,33.86508,49.314976,-21.768717,37.22913,6.113137,17.367373,-19.351377,33.8502,-1.8210783,8.844432,-15.898277,25.209373,4.6781754,14.146909,-1.5709262,5.145716,-6.51709,12.472084,-4.7652197,10.940693,-6.108858,11.989745,4.398158,11.406875,0.04802554777298851,0.06855037079168964,892.7551343926317,1238.904931251318,1718.4486126077586,707.3665858531991,0.026483739,0.054060537,0.13917507,covid,0
-546.50165,213.71703,30.654028,47.3456,-20.63636,41.91055,10.531044,20.930386,-23.016222,42.10411,3.129599,6.970068,-12.691713,23.904705,2.825382,9.1699915,-3.2734087,8.693961,-4.252393,7.5041184,-3.0198526,8.689879,-8.665049,15.277411,2.824787,9.107738,0.05422166846264368,0.08065334884699796,922.2126706371943,1307.9323676526753,1846.5340449892242,725.7268016613738,0.022408964,0.04731578,0.15435936,covid,0
-442.20502,205.13269,41.151226,53.1699,-16.570898,34.120674,15.527327,22.330652,-17.199217,32.092323,4.6573753,7.310609,-13.920847,21.70128,-5.762167,9.039716,-2.3145723,5.6997466,-0.007144509,3.57976,-4.4633884,6.9633703,-7.8218207,11.989325,0.20939864,3.192576,0.05944683908045977,0.07224382495177202,1013.5649303158035,1154.2571654351464,2063.7223868534484,894.209120083409,0.035893135,0.06777906,0.22682391,covid,0
-480.54395,189.21327,24.220785,46.836456,-12.499535,27.657969,6.7177567,14.447185,-12.307656,28.39857,3.8382337,8.434465,-13.305054,25.974686,-1.2969873,7.0265727,-0.81582236,4.140818,1.2622875,3.8654537,-3.974441,8.549781,-5.564719,11.373965,1.9808626,4.18441,0.027972341954022987,0.06006089379975272,597.8687161293907,1170.5931053596123,1164.6492793642242,500.47023195195936,0.03266348,0.0711472,0.08199531,covid,0
-565.5839,179.17554,26.358475,46.2047,-13.184312,28.774973,5.377758,11.5965605,-7.795395,22.790333,1.768057,6.3057723,-9.324867,20.497433,-2.0328958,5.3845243,-1.0008516,3.818749,0.7511397,4.6867657,-3.397505,6.925546,-3.3919237,7.0740337,1.836926,6.1783047,0.03637975933908046,0.05977004111915298,688.9051458570183,1143.4264444418404,1303.8725754310344,569.7821406614966,0.0141474735,0.04136891,0.15768608,covid,0
